深康佳a	chat		
请你给我唱一首北京欢迎你歌曲始于2008年零七另一个晨曦	music		请你给我唱一首<MUSIC_NAME>北京欢迎你</MUSIC_NAME>歌曲始于2008年零七另一个晨曦
让别人生活中小说最后一个摸金校尉第750章	fm	FM_AUDIOBOOK_PLAY	让别人生活中<AUDIOBOOK_TYPE>小说</AUDIOBOOK_TYPE><AUDIOBOOK_ALBUM>最后一个摸金校尉</AUDIOBOOK_ALBUM><AUDIOBOOK_EPISODE_ID>第750章</AUDIOBOOK_EPISODE_ID>
请播放儿童电声	fm	FM_RADIO_PLAY	请播放<RADIO_NAME>儿童电声</RADIO_NAME>
三只熊单曲循环	general_command	LoopOnIntent	
切换到收藏	general_command	NextIntent	
然后去聊一个	chat		
你有哪些应用	chat		
删掉我歌单里面的歌曲	general_command	CANCEL_FAVORITE	
绕脖一周榜	chat		
切换到歌单太重	music	MUSIC_FAVORITE_PLAY	
请你钟业的歌就叫慕斯澈几时投佳木斯操	chat		
你再播一遍	general_command	StartOverIntent	
什么时候买的	chat		
三侠五义接着上回书说	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>三侠五义</AUDIOBOOK_PROGRAM>接着上回书说
请播放只鸟睡鸟	music	MUSIC_GENERAL_PLAY	请播放<MUSIC_NAME>知了知了</MUSIC_NAME>
什么时候要你	chat		
你没有怎么说话的呢	chat		
深圳大盘指数	stock		
排骨汤怎么烧	cook_book		
你给我来一个飞哥和小博的歌	music	MUSIC_GENERAL_PLAY	你给我来一个<MOVIE_TV_NAME>飞哥和小佛</MOVIE_TV_NAME>的歌
什么时候出	chat		
盼望着	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>盼望着</MUSIC_NAME>
你怎么支援会越来越少了你们是不是要不开店了	chat		
你运动一下是不是想玩儿我真的陪你玩	chat		
你知道水浒传里有声音有多少人吗	baike	BAIKE_ITEMS_SEARCH	你知道<BAIKE_ITERM>水浒传里有声音有多少人吗</BAIKE_ITERM>
请老弟他们拿着他们自己的枪再玩主机怎么说	translator		
你想我爸爸是不是一个国王呢你想我妈妈是不是一个妻子呢	chat		
去	chat		
切换到我收藏的歌单	general_command	ADD_FAVORITE	
你知道男女的主人是谁吗	baike	BAIKE_QA_SEARCH	<BAIKE_ITERM>你知道男女的主人是谁吗</BAIKE_ITERM>
你们这个新闻要进行严密小河你们家性质的这个必须清理	chat		
泉井300秒	chat		
三播放新闻	news	NEWS_PLAY	
三国演义上面的插曲叫这一拜	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>三国演义</MUSIC_NAME>上面的插曲叫这一拜
葡萄外面的霜是毒药还是自然的空气水	baike	BAIKE_QA_SEARCH	<BAIKE_ITERM>葡萄外面的霜是毒药还是自然的空气水</BAIKE_ITERM>
三明治怎么做	cook_book		
三字经重头开始	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_ALBUM>三字经</AUDIOBOOK_ALBUM>重头开始
什么时候有人	chat		
什么时候同福	chat		
切换到我收藏的歌曲	general_command	NextIntent	
你能不能给我放一个关于天机之白蛇传说电视剧的插题曲	music	MUSIC_GENERAL_PLAY	你能不能给我放一个关于<MOVIE_TV_NAME>天机之白蛇传说</MOVIE_TV_NAME>电视剧的<MOVIE_TV_MUSIC_TYPE>插题曲</MOVIE_TV_MUSIC_TYPE>
请设置8月1号早上7点钟的闹钟	alerts	ALART_ADD	请设置<DATE>8月1号</DATE><TIME>早上7点钟</TIME>的闹钟
任	chat		
纽约现在几点啦	time		
傻	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>傻</MUSIC_NAME>
你这首歌还蛮好听的你能不能快一点好一点凶一点	chat		
请播放经济新闻	news	NEWS_PLAY	请播放<NEWS_TAG>经济</NEWS_TAG>新闻
七点叫我们起来	alerts	ALART_ADD	<TIME>七点</TIME>叫我们起来
你叫什么跟你说来首歌播放有没有坏呢睡觉	chat		
请再聊	chat		
你来给我们唱一首黄梅戏部队唱一首逆战	music	MUSIC_GENERAL_PLAY	你来给我们唱一首<MUSIC_TAG>黄梅戏</MUSIC_TAG>部队唱一首<MUSIC_NAME>逆战</MUSIC_NAME>
三国演义接着向文波	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_ALBUM>三国演义</AUDIOBOOK_ALBUM>接着向文波
你好我叫陈红静我的家人有爸爸妈妈香酥阿婆爷爷	chat		
其中以7分51秒	chat		
什么时候播放	chat		
什么时候想见	chat		
亲爱的垃圾现在的时间	time		
请将主卧空调换成24度	home_command	SetTemperature	请将<friendlyname>主卧空调</friendlyname>换成<pro>24</pro>度
你什么时候看到我们住一起了	chat		
设个2:40的闹钟	alerts	ALART_ADD	设个<TIME>2:40</TIME>的闹钟
你以后就叫王甜吗因为你改名字了给我喊你你就说我还爱你王甜你就说爱好吗	chat		
切换的歌单	general_command	NextIntent	
什么叫知了	baike	BAIKE_ITEMS_SEARCH	什么叫<BAIKE_ITERM>知了</BAIKE_ITERM>
你除了会唱歌还会什么	chat		
你可以和我的电脑连接吗	chat		
什么时候回调什么是笨才	chat		
亲爱的现在几点啦	time	ASK_TIME	
三国演义播放	video	VIDEO_PLAY	<VIDEO_NAME>三国演义</VIDEO_NAME>播放
评书刘公二哦	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_TYPE>评书</AUDIOBOOK_TYPE><AUDIOBOOK_ALBUM>刘公案</AUDIOBOOK_ALBUM>哦
你可不可以给我播放一个小猪拍雪的故事	fm	FM_AUDIOBOOK_PLAY	你可不可以给我播放一个<AUDIOBOOK_PROGRAM>小猪佩奇</AUDIOBOOK_PROGRAM>的<AUDIOBOOK_TYPE>故事</AUDIOBOOK_TYPE>
你是不是不想起来啊刚刚睡的太舒服了是吗	chat		
切换到陆川国花港台爱的歌单	general_command	NextIntent	
你的生产厂家是哪里啊	chat		
瑞	chat		
请你转播中央联播节目	master_ command		
攀岩包头	baike	BAIKE_QA_SEARCH	<BAIKE_ITERM>攀岩包头</BAIKE_ITERM>
你给我放一首关于小军帅旗的歌好不好	music	MUSIC_GENERAL_PLAY	你给我放一首关于<SINGER>小军</SINGER>帅旗的歌好不好
切换到我喜欢的歌单	music	MUSIC_FAVORITE_PLAY	
什么没听见	chat		
什么时候涨价	chat		
什么时候放假	chat		
什么其他好玩的地方还是去秘密的地方	chat		
请帮我搜一搜那个16号到昆明的动车票	travel	ORDER_STATUS	
请播放a片可的歌	music	MUSIC_GENERAL_PLAY	
三天后回到家	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>三天后</MUSIC_NAME><MUSIC_NAME>回到家</MUSIC_NAME>
什么时候说话发生什么故障	chat		
你好用法语怎么说	translator		
你把刀郎的情歌给我连续播放就行了啊	general_command	LoopOnIntent	
设置一分钟以后的闹钟	alerts	ALART_ADD	设置<DURATION>一分钟以后</DURATION>的闹钟
你是不是在骗我肯定还有大的声音赶紧放	home_command	AdjustUpVolume	
青岛的街道	chat		
请帮我订明天早上7点的闹钟	alerts	ALART_ADD	请帮我订<DATE>明天</DATE><TIME>早上7点</TIME>的闹钟
你们表现的真好再说一遍一起耍哟	general_command	RepeatIntent	
你是脑残吗我要听往后余生你给我放个什么玩意儿	music	MUSIC_GENERAL_PLAY	你是脑残吗我要听<MUSIC_NAME>往后余生</MUSIC_NAME>你给我放个什么玩意儿
潘阳1317兆那些日子不再有这首歌的名字叫什么	music	MUSIC_GENERAL_PLAY	<SINGER>潘阳</SINGER>1317兆<MUSIC_NAME>那些日子不再有</MUSIC_NAME>这首歌的名字叫什么
你是从哪里知道出来的号码是多少公司的电话号码是多少我要投诉	chat		
你有哪些奥特曼加油特慢	chat		
你播放baby one more try	music	MUSIC_GENERAL_PLAY	你播放<MUSIC_NAME>baby </MUSIC_NAME><MUSIC_NAME>one more try</MUSIC_NAME>
你可不是清理垃圾邮件不要给我删了哦	chat		
什么时候会聊	chat		
庆瑞秘	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>庆瑞</BAIKE_ITERM>秘
你说我最爱的人	music	MUSIC_GENERAL_PLAY	你说<MUSIC_NAME>我最爱的人</MUSIC_NAME>
日本北京时间	time	ASK_TIME	<LOCATION>日本</LOCATION><LOCATION>北京</LOCATION>时间
你雪儿吗	chat		
潘中山北路园	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>潘中山北路园</BAIKE_ITERM>
你要打你又不乖又不乖你每天都来嘲笑我你不乖你不乖	chat		
什么时候过球	chat		
七播放下一曲	general_command	NextIntent	
请给我唱一首it my bus my love	music	MUSIC_GENERAL_PLAY	请给我唱一首<MUSIC_NAME>it my bus</MUSIC_NAME> <MUSIC_NAME>my love</MUSIC_NAME>
请问一下张学友什么由张学友有什么歌	baike	BAIKE_ITEMS_SEARCH	请问一下张学友什么由<BAIKE_ITERM>张学友有什么歌</BAIKE_ITERM>
评价一下小米	chat		
三只小猪从开始讲	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>三只小猪</AUDIOBOOK_PROGRAM>从开始讲
请你播放讲讲大卫唱将将大为唱的多情的小青	music	MUSIC_GENERAL_PLAY	请你播放讲讲大卫唱将<SINGER>将大为</SINGER>唱的<MUSIC_NAME>多情的小雨</MUSIC_NAME>
什么时候什么	chat		
请设置一个闹铃	alerts	ALART_ADD	
你为什么说空空啊空空了开火车了我是说动感火车家族的动画片	video	VIDEO_PLAY	你为什么说空空啊空空了开火车了我是说<VIDEO_NAME>动感火车家族的动画片</VIDEO_NAME>
山东路桥	stock		
洽洽音乐课love you heart	music	MUSIC_GENERAL_PLAY	洽洽音乐课<MUSIC_NAME>love you</MUSIC_NAME><MUSIC_NAME> heart</MUSIC_NAME>
你有病吗	chat		
人家叫你你没听见吗	chat		
请预订今天下午两点半的闹钟	alerts	ALART_ADD	请预订<DATE>今天</DATE><TIME>下午两点半</TIME>的闹钟
三个和尚单曲循环	general_command	LoopOnIntent	
你你是休眠费电了还是质量不行免费电脑	chat		
上海咋评论	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>上海</BAIKE_ITERM>咋评论
你说你会一点点的做菜技巧那你教我一下	chat		
青蛙王子	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>青蛙王子</AUDIOBOOK_PROGRAM>
上海新闻广播台	fm	FM_RADIO_PLAY	<RADIO_NAME>上海新闻广播台</RADIO_NAME>
什么时候来的	chat		
请播放西游记的地第十第17集猴哥歌曲	music	MUSIC_GENERAL_PLAY	请播放<MOVIE_TV_NAME>西游记</MOVIE_TV_NAME>的地第十第17集<MOVIE_TV_MUSIC_TYPE>猴哥歌曲</MOVIE_TV_MUSIC_TYPE>
念一段新闻联播	news	NEWS_PLAY	念一段<NEWS_TAG>新闻联播</NEWS_TAG>
你再给我说一遍啊	general_command	RepeatIntent	
设置闹钟早上6:45	alerts	ALART_ADD	设置闹钟<TIME>早上6:45</TIME>
你不问一下小郑婷的对花枪选段	fm	FM_AUDIOBOOK_PLAY	你不问一下<ARTIST>小郑婷</ARTIST>的<AUDIOBOOK_PROGRAM>对花枪选段</AUDIOBOOK_PROGRAM>
取消4:01的闹钟	alerts	ALART_DEL	<ALART_EVENT>取消4:01的闹钟</ALART_EVENT>
其实我觉得音乐不要被耍了啊嗯做出一个决定吧有杀伤力的话哦	chat		
话术	垂类	意图	标签
谭晶的歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>谭晶</SINGER>的歌曲
小野猫	music	MUSIC_GENERAL_PLAY	<SINGER>小野猫</SINGER>
刘奕君	music	MUSIC_GENERAL_PLAY	<SINGER>刘奕君</SINGER>
播放水木年华的歌曲	music	MUSIC_GENERAL_PLAY	播放<SINGER>水木年华</SINGER>的歌曲
我想听种太阳	music	MUSIC_GENERAL_PLAY	我想听<MUSIC_NAME>种太阳</MUSIC_NAME>
吃货	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>吃货</MUSIC_NAME>
昌吉	chat		
唱一首韩朝舞	music	MUSIC_GENERAL_PLAY	唱一首<MUSIC_NAME>韩朝舞</MUSIC_NAME>
卢巧音	music	MUSIC_GENERAL_PLAY	<SINGER>卢巧音</SINGER>
播放理查德克莱德曼钢琴曲	music	MUSIC_GENERAL_PLAY	播放<SINGER>理查德克莱德曼</SINGER><MUSIC_TAG>钢琴曲</MUSIC_TAG>
郭庆	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>郭庆</BAIKE_ITERM>
流浪者	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>流浪者</MUSIC_NAME>
梁静茹的分手快乐	music	MUSIC_GENERAL_PLAY	<SINGER>梁静茹</SINGER>的<MUSIC_NAME>分手快乐</MUSIC_NAME>
播放张敬轩	music	MUSIC_GENERAL_PLAY	播放<SINGER>张敬轩</SINGER>
播放徐良	music	MUSIC_GENERAL_PLAY	播放<SINGER>徐良</SINGER>
贝多芬交响曲	music	MUSIC_GENERAL_PLAY	<SINGER>贝多芬</SINGER><MUSIC_NAME>交响曲</MUSIC_NAME>
播放下医生	music	MUSIC_GENERAL_PLAY	播放下<MUSIC_NAME>医生</MUSIC_NAME>
我要听王俊凯唱的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>王俊凯</SINGER>唱的歌
我想听李荣浩	music	MUSIC_GENERAL_PLAY	我想听<SINGER>李荣浩</SINGER>
张志军	music	MUSIC_GENERAL_PLAY	<SINGER>张志军</SINGER>
播放李健的音乐	music	MUSIC_GENERAL_PLAY	播放<SINGER>李健</SINGER>的音乐
我要听雷军的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>雷军</SINGER>的歌
换一首王力宏的歌	music	MUSIC_GENERAL_PLAY	
李易峰的歌	music	MUSIC_GENERAL_PLAY	<SINGER>李易峰</SINGER>的歌
播放李谷一的歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>李谷一</SINGER>的歌
瑞雪	music	MUSIC_GENERAL_PLAY	<SINGER>瑞雪</SINGER>
刘锐	music	MUSIC_GENERAL_PLAY	<SINGER>刘锐</SINGER>
小哥儿	chat		
放首刘若英的歌	music	MUSIC_GENERAL_PLAY	放首<SINGER>刘若英</SINGER>的歌
张斌	music	MUSIC_GENERAL_PLAY	<SINGER>张斌</SINGER>
刘德华男人哭吧哭吧不是罪	music	MUSIC_GENERAL_PLAY	<SINGER>刘德华</SINGER><MUSIC_NAME>男人哭吧哭吧不是罪</MUSIC_NAME>
南宫嘉骏	music	MUSIC_GENERAL_PLAY	<SINGER>南宫嘉骏</SINGER>
我要听电台	fm	FM_RADIO_PLAY	
放宋祖英的歌	music	MUSIC_GENERAL_PLAY	放<SINGER>宋祖英</SINGER>的歌
降央卓玛哥	music	MUSIC_GENERAL_PLAY	<SINGER>降央卓玛</SINGER>歌
请播放李玲玉的歌	music	MUSIC_GENERAL_PLAY	请播放<SINGER>李玲玉</SINGER>的歌
我要听阿黛尔的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>阿黛尔</SINGER>的歌
我要你进入	chat		
吴琴儿	music	MUSIC_GENERAL_PLAY	<SINGER>吴琴儿</SINGER>
宇桐非	music	MUSIC_GENERAL_PLAY	<SINGER>宇桐非</SINGER>
朱贝贝	music	MUSIC_GENERAL_PLAY	<SINGER>朱贝贝</SINGER>
播放冯提莫的	music	MUSIC_GENERAL_PLAY	播放<SINGER>冯提莫</SINGER>的
郑源歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>郑源</SINGER>歌曲
来一首刘德华	music	MUSIC_GENERAL_PLAY	来一首<SINGER>刘德华</SINGER>
叮叮猫	music	MUSIC_GENERAL_PLAY	<SINGER>叮叮猫</SINGER>
周深的歌	music	MUSIC_GENERAL_PLAY	<SINGER>周深</SINGER>的歌
羊毛	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>羊毛</AUDIOBOOK_PROGRAM>
英格玛	music	MUSIC_GENERAL_PLAY	<SINGER>英格玛</SINGER>
我想听李志的歌	music	MUSIC_GENERAL_PLAY	我想听<SINGER>李志</SINGER>的歌
白羽	music	MUSIC_GENERAL_PLAY	<SINGER>白羽</SINGER>
郭兰英歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>郭兰英</SINGER>歌曲
阿牛的桃花朵朵开	music	MUSIC_GENERAL_PLAY	<SINGER>阿牛</SINGER>的<MUSIC_NAME>桃花朵朵开</MUSIC_NAME>
播放谢军的歌曲	music	MUSIC_GENERAL_PLAY	播放<SINGER>谢军</SINGER>的歌曲
mc小洲	music	MUSIC_GENERAL_PLAY	<SINGER>mc小洲</SINGER>
陈潇	music	MUSIC_GENERAL_PLAY	<SINGER>陈潇</SINGER>
放一首好妹妹乐队的歌	music	MUSIC_GENERAL_PLAY	放一首<SINGER>好妹妹乐队</SINGER>的歌
国王队	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>国王队</BAIKE_ITERM>
我要听李荣浩	music	MUSIC_GENERAL_PLAY	我要听<SINGER>李荣浩</SINGER>
放小猪	chat		
沙子	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>沙子</MUSIC_NAME>
长安夜	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>长安夜</MUSIC_NAME>
播放小龙人	music	MUSIC_GENERAL_PLAY	播放<MUSIC_NAME>小龙人</MUSIC_NAME>
任贤齐的兄弟	music	MUSIC_GENERAL_PLAY	<SINGER>任贤齐</SINGER>的<MUSIC_NAME>兄弟</MUSIC_NAME>
播放胡歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>胡歌</SINGER>
放梅艳芳的歌	music	MUSIC_GENERAL_PLAY	放<SINGER>梅艳芳</SINGER>的歌
唱高胜美的歌	music	MUSIC_GENERAL_PLAY	唱<SINGER>高胜美</SINGER>的歌
张靓颖的	music	MUSIC_GENERAL_PLAY	
李冰冰	music	MUSIC_GENERAL_PLAY	<SINGER>李冰冰</SINGER>
张冬玲的歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>张冬玲</SINGER>的歌曲
鲍勃迪伦	music	MUSIC_GENERAL_PLAY	<SINGER>鲍勃迪伦</SINGER>
侯明昊	music	MUSIC_GENERAL_PLAY	<SINGER>侯明昊</SINGER>
赵磊的话	music	MUSIC_GENERAL_PLAY	<SINGER>赵雷</SINGER>的<MUSIC_NAME>画</MUSIC_NAME>
大黄	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>大黄</BAIKE_ITERM>
放一首乌兰图雅的歌	music	MUSIC_GENERAL_PLAY	放一首<SINGER>乌兰图雅</SINGER>的歌
放一首那英	music	MUSIC_GENERAL_PLAY	放一首<SINGER>那英</SINGER>
播放小白小白	music	MUSIC_GENERAL_PLAY	播放<SINGER>小白</SINGER><SINGER>小白</SINGER>
王立军	music	MUSIC_GENERAL_PLAY	<SINGER>王立军</SINGER>
黄津彤	chat		
播放姚贝娜的歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>姚贝娜</SINGER>的歌
我要听艾伦沃克的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>艾伦沃克</SINGER>的歌
关贵敏	music	MUSIC_GENERAL_PLAY	<SINGER>关贵敏</SINGER>
我想听孟庭苇的歌	music	MUSIC_GENERAL_PLAY	我想听<SINGER>孟庭苇</SINGER>的歌
无法天宇	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>无法言喻</MUSIC_NAME>
我想听杨坤的歌	music	MUSIC_GENERAL_PLAY	我想听<SINGER>杨坤</SINGER>的歌
百分之一百	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>百分之一百</MUSIC_NAME>
播放吉祥三宝	music	MUSIC_GENERAL_PLAY	
商海	video	VIDEO_PLAY	<VIDEO_NAME>沙海</VIDEO_NAME>
播放苏芮	music	MUSIC_GENERAL_PLAY	
播放金志文的	music	MUSIC_GENERAL_PLAY	播放<SINGER>金志文</SINGER>的
我要听小虎队的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>小虎队</SINGER>的歌
播放王绎龙的歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>王绎龙</SINGER>的歌
放李克勤的歌	music		放<SINGER>李克勤</SINGER>的歌
嗯陈奕迅的歌	music	MUSIC_GENERAL_PLAY	嗯<SINGER>陈奕迅</SINGER>的歌
高进的歌	music	MUSIC_GENERAL_PLAY	<SINGER>高进</SINGER>的歌
小叔	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>小叔</BAIKE_ITERM>
跟踪超人	music	MUSIC_GENERAL_PLAY	<SINGER>跟风超人</SINGER>
我要听于文文的歌	music	MUSIC_GENERAL_PLAY	我要听<SINGER>于文文</SINGER>的歌
小苏	music	MUSIC_GENERAL_PLAY	<SINGER>小苏</SINGER>
卓依婷的	music	MUSIC_GENERAL_PLAY	<SINGER>卓依婷</SINGER>的
容祖儿的歌	music	MUSIC_GENERAL_PLAY	<SINGER>容祖儿</SINGER>的歌
放罗大佑的歌	music	MUSIC_GENERAL_PLAY	放<SINGER>罗大佑</SINGER>的歌
萧战	music	MUSIC_GENERAL_PLAY	<SINGER>肖战</SINGER>
播放杨坤的	music	MUSIC_GENERAL_PLAY	播放<SINGER>杨坤</SINGER>的
播放贵族乐团	music	MUSIC_GENERAL_PLAY	播放<SINGER>贵族乐团</SINGER>
周冰倩的歌	music	MUSIC_GENERAL_PLAY	<SINGER>周冰倩</SINGER>的歌
小布丁	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>小布丁</MUSIC_NAME>
杨洋播放	music	MUSIC_GENERAL_PLAY	<SINGER>杨洋</SINGER>播放
播放侧田的歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>侧田</SINGER>的歌
黑龙马	chat		
林海雪原	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>林海雪原</MUSIC_NAME>
领军洞	chat		
放一首海潮歌	music	MUSIC_GENERAL_PLAY	放一首<MUSIC_NAME>海草舞</MUSIC_NAME>
播放张碧晨的	music	MUSIC_GENERAL_PLAY	播放<SINGER>张碧晨</SINGER>的
赵子龙	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>赵子龙</MUSIC_NAME>
我要听房东的猫	music	MUSIC_GENERAL_PLAY	我要听<MUSIC_NAME>房东的猫</MUSIC_NAME>
刀郎的专辑	music	MUSIC_GENERAL_PLAY	<SINGER>刀郎</SINGER>的专辑
播放小鸡鸡	chat		
郑少秋的歌	music	MUSIC_GENERAL_PLAY	<SINGER>郑少秋</SINGER>的歌
放几首周杰伦的歌	music	MUSIC_GENERAL_PLAY	放几首<SINGER>周杰伦</SINGER>的歌
钢琴名曲	music	MUSIC_GENERAL_PLAY	<MUSIC_TAG>钢琴名曲</MUSIC_TAG>
小青	music	MUSIC_GENERAL_PLAY	<SINGER>小青</SINGER>
放一首孙露	music	MUSIC_GENERAL_PLAY	放一首<SINGER>孙露</SINGER>
唱首祁隆的歌	music	MUSIC_GENERAL_PLAY	唱首<SINGER>祁隆</SINGER>的歌
播放海涛我	chat		
成全刘若英	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>成全</MUSIC_NAME><SINGER>刘若英</SINGER>
毛毛雨	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>毛毛雨</MUSIC_NAME>
杰的奥特曼	chat		
汪峰北京	music	MUSIC_GENERAL_PLAY	<SINGER>汪峰</SINGER><MUSIC_NAME>北京</MUSIC_NAME>
换一首周杰伦的歌曲	music	MUSIC_GENERAL_PLAY	换一首<SINGER>周杰伦</SINGER>的歌曲
abc的歌	music	MUSIC_GENERAL_PLAY	<SINGER>abc</SINGER>的歌
一路平安	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>一路平安</MUSIC_NAME>
老虎哥	music	MUSIC_GENERAL_PLAY	
韦礼安	music	MUSIC_GENERAL_PLAY	<SINGER>韦礼安</SINGER>
刘雨	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>刘雨</BAIKE_ITERM>
放孙露的歌曲	music	MUSIC_GENERAL_PLAY	放<SINGER>孙露</SINGER>的歌曲
我想听华晨宇的	music	MUSIC_GENERAL_PLAY	我想听<SINGER>华晨宇</SINGER>的
代表我的心	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>月亮代表我的心</MUSIC_NAME>
小月亮	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_ALBUM>小月亮</AUDIOBOOK_ALBUM>
播放郭德纲单口相声	fm	FM_AUDIOBOOK_PLAY	播放<ARTIST>郭德纲</ARTIST><AUDIOBOOK_TYPE>单口相声</AUDIOBOOK_TYPE>
播放梁博的歌	music	MUSIC_GENERAL_PLAY	播放<SINGER>梁博</SINGER>的歌
何鹏的dj	music	MUSIC_GENERAL_PLAY	<SINGER>何鹏</SINGER>的<MUSIC_TAG>dj</MUSIC_TAG>
小猪奇	chat		
放王若琳的歌	music	MUSIC_GENERAL_PLAY	放<SINGER>王若琳</SINGER>的歌
霸王龙的故事	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>霸王龙</AUDIOBOOK_PROGRAM>的<AUDIOBOOK_TYPE>故事</AUDIOBOOK_TYPE>
李健歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>李健</SINGER>歌曲
乌云乌云快走开	fm	FM_AUDIOBOOK_PLAY	<AUDIOBOOK_PROGRAM>乌云乌云快走开</AUDIOBOOK_PROGRAM>
华晨宇的歌曲	music	MUSIC_GENERAL_PLAY	<SINGER>华晨宇</SINGER>的歌曲
乐正龙牙	music	MUSIC_GENERAL_PLAY	<SINGER>乐正龙牙</SINGER>
我想听陈慧娴的歌	music	MUSIC_GENERAL_PLAY	我想听<SINGER>陈慧娴</SINGER>的歌
放一首苏打绿的歌	music	MUSIC_GENERAL_PLAY	放一首<SINGER>苏打绿</SINGER>的歌
韩宝艺	music	MUSIC_GENERAL_PLAY	
佚名唱的	music	MUSIC_GENERAL_PLAY	<SINGER>佚名</SINGER>唱的
李娟	music	MUSIC_GENERAL_PLAY	<SINGER>李娟</SINGER>
我要听眠	music	MUSIC_GENERAL_PLAY	我要听<MUSIC_NAME>眠</MUSIC_NAME>
潮音老李	music	MUSIC_GENERAL_PLAY	<SINGER>潮音老李</SINGER>
播放我的张杰	music	MUSIC_GENERAL_PLAY	播放我的<SINGER>张杰</SINGER>
戳爷	music	MUSIC_GENERAL_PLAY	<SINGER>戳爷</SINGER>
佩姬	music	MUSIC_GENERAL_PLAY	<SINGER>佩姬</SINGER>
来一首降央卓玛的歌	music	MUSIC_GENERAL_PLAY	来一首<SINGER>降央卓玛</SINGER>的歌
给我放张学友的歌	music	MUSIC_GENERAL_PLAY	给我放<SINGER>张学友</SINGER>的歌
无悔	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>无悔</MUSIC_NAME>
psy吗	music	MUSIC_GENERAL_PLAY	<SINGER>psy</SINGER>吗
咚咚	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>咚咚</MUSIC_NAME>
放林俊杰的歌曲	music	MUSIC_GENERAL_PLAY	放<SINGER>林俊杰</SINGER>的歌曲
来一首张靓颖的歌	music	MUSIC_GENERAL_PLAY	来一首<SINGER>张靓颖</SINGER>的歌
我要听王嘉尔的巴比龙	music	MUSIC_GENERAL_PLAY	我要听<SINGER>王嘉尔</SINGER>的<MUSIC_NAME>巴比龙</MUSIC_NAME>
佳音	baike	BAIKE_ITEMS_SEARCH	<BAIKE_ITERM>佳音</BAIKE_ITERM>
花花姑娘	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>花花姑娘</MUSIC_NAME>
我要听张国荣	music	MUSIC_GENERAL_PLAY	我要听<SINGER>张国荣</SINGER>
小美小美	chat		
播放贾斯丁比伯	music	MUSIC_GENERAL_PLAY	播放<SINGER>贾斯丁比伯</SINGER>
